id,numberofRepeat,avgStepNumber,avgOfPoints,maxOfGoal,checkPoints
1,2,3495.5,48,96,15-42-84-89-
2,2,5491,70,95,40-53-57-84-
3,2,3991,89,91,29-39-44-
4,2,3991,66,86,22-24-29-39-45-46-52-56-62-
5,2,3991,86,90,29-39-84-85-86-
6,2,3991,86.5,94,29-39-53-63-84-85-
7,2,3991,88.5,89,29-39-88-
8,2,3991,88,99,35-
10,2,3553.5,99.5,100,
11,2,3996,98,99,
12,2,3651,99,100,36-
13,2,3486,99.5,100,
14,2,3700,99.5,100,
15,2,3870.5,100,100,
16,2,3020,100,100,
17,2,2931,100,100,
18,2,2950.5,100,100,
19,2,3080,100,100,
20,2,3690.5,99.5,100,
21,2,3680.5,100,100,
22,2,3150,100,100,
23,2,3006,100,100,
24,2,3356,100,100,
25,2,3370.5,100,100,
